Seed,Listed Name,Team,Grade,Record,Scoring,Weight,Last Name,First Name,Name,Wgt-Seed,Full Listing,Points,,,,,,,,,,,
4,"Echemendia, Anthony",Iowa State,,19-3,Yes,141,Echemendia,Anthony,Anthony Echemendia,141lbs-4,#4 Anthony Echemendia (ISU) 19-3,0,,,,,,,,,,,
5,"Stanich, Luke",Lehigh,,13-0,Yes,141,Stanich,Luke,Luke Stanich,141lbs-5,#5 Luke Stanich (LEH) 13-0,0,,,,,,,,,,,
6,"Cornella, Vince",Cornell,,19-1,Yes,141,Cornella,Vince,Vince Cornella,141lbs-6,#6 Vince Cornella (COR) 19-1,0,,,,,,,,,,,
7,"Bailey, Nasir",Iowa,,14-7,Yes,141,Bailey,Nasir,Nasir Bailey,141lbs-7,#7 Nasir Bailey (IOWA) 14-7,0,,,,,,,,,,,
8,"Vombaur, Vance",Minnesota,,21-6,Yes,141,Vombaur,Vance,Vance Vombaur,141lbs-8,#8 Vance Vombaur (MINN) 21-6,0,,,,,,,,,,,
9,"Olivieri, Joey",Rutgers,,19-2,Yes,141,Olivieri,Joey,Joey Olivieri,141lbs-9,#9 Joey Olivieri (RUT) 19-2,0,,,,,,,,,,,
10,"Consiglio, Jack",Stanford,,14-5,Yes,141,Consiglio,Jack,Jack Consiglio,141lbs-10,#10 Jack Consiglio (STAN) 14-5,0,,,,,,,,,,,
11,"Composto, CJ",Penn,,16-4,Yes,141,Composto,CJ,CJ Composto,141lbs-11,#11 CJ Composto (PENN) 16-4,0,,,,,,,,,,,
12,"Simcox, Luke",North Carolina,,16-6,Yes,141,Simcox,Luke,Luke Simcox,141lbs-12,#12 Luke Simcox (UNC) 16-6,0,,,,,,,,,,,
13,"Henson, Wyatt",Lock Haven,,24-5,Yes,141,Henson,Wyatt,Wyatt Henson,141lbs-13,#13 Wyatt Henson (LHU) 24-5,0,,,,,,,,,,,
14,"Davis, Braeden",Penn State,,5-Dec,Yes,141,Davis,Braeden,Braeden Davis,141lbs-14,#14 Braeden Davis (PSU) 12-5,0,,,,,,,,,,,
15,"Griffin, Elijah",Rider,,26-7,Yes,141,Griffin,Elijah,Elijah Griffin,141lbs-15,#15 Elijah Griffin (RID) 26-7,0,,,,,,,,,,,
16,"Jack, Ryan",NC State,,15-7,Yes,141,Jack,Ryan,Ryan Jack,141lbs-16,#16 Ryan Jack (NCST) 15-7,0,,,,,,,,,,,
17,"Ricciardi, Caedyn",Navy,,18-8,Yes,141,Ricciardi,Caedyn,Caedyn Ricciardi,141lbs-17,#17 Caedyn Ricciardi (NAVY) 18-8,0,,,,,,,,,,,
18,"Nogle, Carter",Air Force,,25-8,Yes,141,Nogle,Carter,Carter Nogle,141lbs-18,#18 Carter Nogle (AF) 25-8,0,,,,,,,,,,,
19,"Drury, Haiden",Utah Valley,,21-9,Yes,141,Drury,Haiden,Haiden Drury,141lbs-19,#19 Haiden Drury (UVU) 21-9,0,,,,,,,,,,,
20,"Tagg, Julian",South Dakota State,,18-6,Yes,141,Tagg,Julian,Julian Tagg,141lbs-20,#20 Julian Tagg (SDSU) 18-6,0,,,,,,,,,,,
21,"Wells, Tyler",Oklahoma,,16-9,Yes,141,Wells,Tyler,Tyler Wells,141lbs-21,#21 Tyler Wells (OU) 16-9,0,,,,,,,,,,,
22,"Frezza, Lorenzo",Columbia,,23-10,Yes,141,Frezza,Lorenzo,Lorenzo Frezza,141lbs-22,#22 Lorenzo Frezza (COL) 23-10,0,,,,,,,,,,,
23,"Chappell, Dylan",Bucknell,,21-10,Yes,141,Chappell,Dylan,Dylan Chappell,141lbs-23,#23 Dylan Chappell (BUCK) 21-10,0,,,,,,,,,,,
24,"Singleton, Nash",Oregon State,,15-7,Yes,141,Singleton,Nash,Nash Singleton,141lbs-24,#24 Nash Singleton (ORST) 15-7,0,,,,,,,,,,,
